299	102	3	4	3.5	8.62	0	0.56
290	104	4	2	2.5	7.46	0	0.45
296	99	2	3	3.5	7.28	0	0.47
327	104	5	3	3.5	8.84	1	0.71
335	117	5	5	5	9.56	1	0.94
334	119	5	4.5	4.5	9.48	1	0.94
310	106	4	1.5	2.5	8.36	0	0.57
308	108	3	3.5	3.5	8.22	0	0.61

321	109	3	3	3	8.54	1	0.79
315	105	2	2	2.5	7.65	0	0.39
304	101	2	2	2.5	7.66	0	0.38
297	96	2	2.5	2	7.43	0	0.34
290	100	1	1.5	2	7.56	0	0.47
303	98	1	2	2.5	7.65	0	0.56

301	106	4	2.5	3	8.47	0	0.57
300	100	3	2	3	8.66	1	0.64
323	113	3	4	3	9.32	1	0.85
319	112	3	2.5	2	8.71	1	0.78
326	112	3	3.5	3	9.1	    1	0.84
333	118	5	5	5	9.35	1	0.92
339	114	5	4	4.5	9.76	1	0.96
303	105	5	5	4.5	8.65	0	0.77
